nm_area_plantada_mil_ha,dt_ano_agricola,sigla_uf,id_produto,nm_producao_mil_t,nm_produtividade_mil_ha_mil_t
99.3,1976-77             ,AL,4586,6,0.1
123.4,1976-77             ,BA,4586,7,0.1
1296,1976-77             ,CE,4586,70,0.1
73.1,1976-77             ,GO,4586,28.2,0.4
44.4,1976-77             ,MA,4586,2,0
116.2,1976-77             ,MG,4586,30.9,0.3
68.4,1976-77             ,MS,4586,15.7,0.2
666.7,1976-77             ,PB,4586,35,0.1
300.9,1976-77             ,PE,4586,25,0.1
141.2,1976-77             ,PI,4586,4,0
290.4,1976-77             ,PR,4586,137.9,0.5
559.9,1976-77             ,RN,4586,30,0.1
15.9,1976-77             ,SE,4586,1,0.1
300.1,1976-77             ,SP,4586,194.2,0.6
62.8,1977-78             ,AL,4586,5.3,0.1
130.2,1977-78             ,BA,4586,12,0.1
1294,1977-78             ,CE,4586,79.6,0.1
66,1977-78             ,GO,4586,20.8,0.3
47.1,1977-78             ,MA,4586,2.7,0.1
121.3,1977-78             ,MG,4586,31.6,0.3
45.6,1977-78             ,MS,4586,17,0.4
566.8,1977-78             ,PB,4586,30,0.1
278.8,1977-78             ,PE,4586,18,0.1
127,1977-78             ,PI,4586,6.5,0.1
290,1977-78             ,PR,4586,100.8,0.3
552.2,1977-78             ,RN,4586,26,0
16,1977-78             ,SE,4586,1,0.1
328,1977-78             ,SP,4586,135.1,0.4
72.9,1978-79             ,AL,4586,5.2,0.1
85.8,1978-79             ,BA,4586,12,0.1
1256.8,1978-79             ,CE,4586,54.3,0
35.1,1978-79             ,GO,4586,17.5,0.5
51.1,1978-79             ,MA,4586,3.6,0.1
99.3,1978-79             ,MG,4586,21.9,0.2
45.8,1978-79             ,MS,4586,21.9,0.5
5.2,1978-79             ,MT,4586,1.2,0.2
600,1978-79             ,PB,4586,25,0
245.3,1978-79             ,PE,4586,16.5,0.1
156.6,1978-79             ,PI,4586,6.9,0
286,1978-79             ,PR,4586,169.8,0.6
389.4,1978-79             ,RN,4586,14,0
20.4,1978-79             ,SE,4586,1.5,0.1
273.9,1978-79             ,SP,4586,172.3,0.6
81,1979-80             ,AL,4586,4,0
76,1979-80             ,BA,4586,14.3,0.2
1365,1979-80             ,CE,4586,55,0
31.4,1979-80             ,GO,4586,18.7,0.6
52,1979-80             ,MA,4586,3,0.1
90,1979-80             ,MG,4586,19.2,0.2
44.4,1979-80             ,MS,4586,22.5,0.5
4.4,1979-80             ,MT,4586,1.4,0.3
638,1979-80             ,PB,4586,26.5,0
271,1979-80             ,PE,4586,14,0.1
165,1979-80             ,PI,4586,6,0
336.7,1979-80             ,PR,4586,200.9,0.6
617,1979-80             ,RN,4586,12.5,0
15,1979-80             ,SE,4586,0.7,0
284,1979-80             ,SP,4586,178.7,0.6
91,1980-81             ,AL,4586,5.4,0.1
